,oktmo,value,municipal_district_name_short,territory_id,municipal_district_name,municipal_district_type,region_code,region_name
168,04-706-000-000,-10.685714285714285,Боготол,668,городской округ город Боготол,городской округ,24,Красноярский край
169,04-707-000-000,4.484848484848484,Бородино,669,городской округ город Бородино,городской округ,24,Красноярский край
170,04-709-000-000,2.731707317073171,Дивногорск,670,городской округ город Дивногорск,городской округ,24,Красноярский край
171,04-712-000-000,13.333333333333334,Енисейск,671,городской округ город Енисейск,городской округ,24,Красноярский край
172,04-720-000-000,4.615384615384615,Канск,674,городской округ город Канск,городской округ,24,Красноярский край
173,04-722-000-000,-10.108108108108109,Лесосибирск,675,городской округ город Лесосибирск,городской округ,24,Красноярский край
174,04-723-000-000,-2.3684210526315788,Минусинск,676,городской округ город Минусинск,городской округ,24,Красноярский край
175,04-726-000-000,-2.789473684210526,Назарово,677,городской округ город Назарово,городской округ,24,Красноярский край
176,04-729-000-000,55.05,Норильск,678,городской округ город Норильск,городской округ,24,Красноярский край
177,04-733-000-000,26.36842105263158,Сосновоборск,679,городской округ город Сосновоборск,городской округ,24,Красноярский край
178,04-740-000-000,-2.1025641025641026,Шарыпово,680,городской округ город Шарыпово,городской округ,24,Красноярский край
179,04-775-000-000,-2.4,Кедровый,681,городской округ поселок Кедровый,городской округ,24,Красноярский край
180,05-502-000-000,-4.3428571428571425,Анучинский,787,Анучинский муниципальный округ,муниципальный округ,25,Приморский край
181,05-510-000-000,-5.235294117647059,Кавалеровский,789,Кавалеровский муниципальный округ,муниципальный округ,25,Приморский край
182,05-514-000-000,-8.514285714285714,Красноармейский,791,Красноармейский муниципальный округ,муниципальный округ,25,Приморский край
183,05-517-000-000,-11.45945945945946,Лазовский,792,Лазовский муниципальный округ,муниципальный округ,25,Приморский край
184,05-526-000-000,0.8,Октябрьский,795,Октябрьский муниципальный округ,муниципальный округ,25,Приморский край
185,05-528-000-000,-11.942857142857143,Ольгинский,796,Ольгинский муниципальный округ,муниципальный округ,25,Приморский край
186,05-530-000-000,10.461538461538462,Партизанский,797,Партизанский муниципальный округ,муниципальный округ,25,Приморский край
187,05-532-000-000,-8.473684210526315,Пограничный,798,Пограничный муниципальный округ,муниципальный округ,25,Приморский край
188,05-534-000-000,-3.0588235294117645,Пожарский,799,Пожарский муниципальный округ,муниципальный округ,25,Приморский край
189,05-540-000-000,-4.0,Тернейский,801,Тернейский муниципальный округ,муниципальный округ,25,Приморский край
190,05-546-000-000,-13.941176470588236,Ханкайский,802,Ханкайский муниципальный округ,муниципальный округ,25,Приморский край
191,05-548-000-000,-12.736842105263158,Хасанский,803,Хасанский муниципальный округ,муниципальный округ,25,Приморский край
192,05-550-000-000,-6.216216216216216,Хорольский,804,Хорольский муниципальный округ,муниципальный округ,25,Приморский край
193,05-553-000-000,-10.909090909090908,Черниговский,805,Черниговский муниципальный округ,муниципальный округ,25,Приморский край
194,05-555-000-000,-8.666666666666666,Чугуевский,806,Чугуевский муниципальный округ,муниципальный округ,25,Приморский край
195,05-557-000-000,4.205128205128205,Шкотовский,807,Шкотовский муниципальный округ,муниципальный округ,25,Приморский край
196,05-559-000-000,-4.153846153846154,Яковлевский,808,Яковлевский муниципальный округ,муниципальный округ,25,Приморский край
197,05-602-000-000,-4.3428571428571425,Анучинский,787,Анучинский муниципальный район,муниципальный район,25,Приморский край
198,05-607-000-000,-8.333333333333334,Дальнереченский,788,Дальнереченский муниципальный район,муниципальный район,25,Приморский край
199,05-610-000-000,-5.235294117647059,Кавалеровский,789,Кавалеровский муниципальный район,муниципальный район,25,Приморский край
200,05-612-000-000,-6.162162162162162,Кировский,790,Кировский муниципальный район,муниципальный район,25,Приморский край
201,05-614-000-000,-8.514285714285714,Красноармейский,791,Красноармейский муниципальный район,муниципальный район,25,Приморский край
202,05-617-000-000,-11.45945945945946,Лазовский,792,Лазовский муниципальный район,муниципальный район,25,Приморский край
203,05-620-000-000,-1.6756756756756757,Михайловский,793,Михайловский муниципальный район,муниципальный район,25,Приморский край
204,05-623-000-000,76.97435897435898,Надеждинский,794,Надеждинский муниципальный район,муниципальный район,25,Приморский край
205,05-626-000-000,0.8,Октябрьский,795,Октябрьский муниципальный район,муниципальный район,25,Приморский край
206,05-628-000-000,-11.942857142857143,Ольгинский,796,Ольгинский муниципальный район,муниципальный район,25,Приморский край
207,05-630-000-000,10.461538461538462,Партизанский,797,Партизанский муниципальный район,муниципальный район,25,Приморский край
208,05-632-000-000,-8.473684210526315,Пограничный,798,Пограничный муниципальный район,муниципальный район,25,Приморский край
209,05-634-000-000,-3.0588235294117645,Пожарский,799,Пожарский муниципальный район,муниципальный район,25,Приморский край
210,05-637-000-000,-7.15,Спасский,800,Спасский муниципальный район,муниципальный район,25,Приморский край
211,05-640-000-000,-4.0,Тернейский,801,Тернейский муниципальный район,муниципальный район,25,Приморский край
212,05-646-000-000,-13.941176470588236,Ханкайский,802,Ханкайский муниципальный район,муниципальный район,25,Приморский край
213,05-648-000-000,-12.736842105263158,Хасанский,803,Хасанский муниципальный район,муниципальный район,25,Приморский край
214,05-650-000-000,-6.216216216216216,Хорольский,804,Хорольский муниципальный район,муниципальный район,25,Приморский край
215,05-653-000-000,-10.909090909090908,Черниговский,805,Черниговский муниципальный район,муниципальный район,25,Приморский край
216,05-655-000-000,-8.666666666666666,Чугуевский,806,Чугуевский муниципальный район,муниципальный район,25,Приморский край
217,05-657-000-000,4.205128205128205,Шкотовский,807,Шкотовский муниципальный район,муниципальный район,25,Приморский край
218,05-659-000-000,-4.153846153846154,Яковлевский,808,Яковлевский муниципальный район,муниципальный район,25,Приморский край
219,05-701-000-000,-166.76190476190476,Владивостокский,775,городской округ Владивостокский,городской округ,25,Приморский край
220,05-703-000-000,6.769230769230769,Арсеньевский,776,городской округ Арсеньевский,городской округ,25,Приморский край
221,05-705-000-000,16.7,Артемовский,777,городской округ Артемовский,городской округ,25,Приморский край
222,05-706-000-000,26.594594594594593,Большой Камень,778,городской округ Большой Камень,городской округ,25,Приморский край
223,05-707-000-000,-0.29411764705882354,Дальнегорский,779,городской округ Дальнегорский,городской округ,25,Приморский край
224,05-708-000-000,-6.216216216216216,Дальнереченский,780,городской округ Дальнереченский,городской округ,25,Приморский край
225,05-711-000-000,-13.38888888888889,Лесозаводский,781,городской округ Лесозаводский,городской округ,25,Приморский край
226,05-714-000-000,-51.0,Находкинский,782,городской округ Находкинский,городской округ,25,Приморский край
227,05-717-000-000,2.0,Партизанский,783,городской округ Партизанский,городской округ,25,Приморский край
228,05-720-000-000,0.8648648648648649,Спасск-Дальний,784,городской округ Спасск-Дальний,городской округ,25,Приморский край
229,05-723-000-000,30.73170731707317,Уссурийский,785,городской округ Уссурийский,городской округ,25,Приморский край
230,05-747-000-000,2.823529411764706,Фокино,786,городской округ ЗАТО Фокино,городской округ,25,Приморский край
231,07-502-000-000,0.47368421052631576,Александровский,826,Александровский муниципальный округ,муниципальный округ,26,Ставропольский край
232,07-503-000-000,-7.837837837837838,Андроповский,827,Андроповский муниципальный округ,муниципальный округ,26,Ставропольский край
